ProjectID,ProjectNam,ProjectMet,Status,Status_Rea,RiverBasin,CU,HUC,County,Ecoregion,GIS_Acres,Shape_STAr,Shape_STLe,BUFF_DIST,ORIG_FID
95756,601 East Stream Restoration Project,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040105,03040105081010,Union,Southern Piedmont,12.774865970000000,556473.161442999960855,9225.423334369999793,1.000000000000000,1
95025,601 North II Stream Restoration Site,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040105,03040105081010,Union,Southern Piedmont,12.310130579999999,536229.288093999959528,7917.467105230000016,1.000000000000000,2
92546,601 North Property,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040105,03040105081010,Union,Southern Piedmont,8.458408640000000,368448.280245999980252,5682.180511389999992,1.000000000000000,3
92545,601 West Property,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040105,03040105081010,Union,Southern Piedmont,12.816836080000000,558301.379513000021689,8448.669959990000280,1.000000000000000,4
9,Abbott,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201090010,Wake,Central Piedmont,5.583427210000000,243249.517993999994360,2209.084685110000009,1.000000000000000,5
6,ABC (G),Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020104,03020104110010,Beaufort,Northern Outer Coastal Plain,195.820357800000011,8529934.785879999399185,13592.909517199999755,1.000000000000000,6
92244,Adam's Creek Sea Gate Woods,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020204,03020204050050,Carteret,Southern Outer Coastal Plain,122.895391610000004,5353323.258410000242293,10927.749493299999813,1.000000000000000,7
7,Adkins Branch (Phase II) (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020202,03020202060030,Lenoir,Southern Inner Coastal Plain,35.725366360000002,1556196.958689999999478,19703.524443099999189,1.000000000000000,8
95716,Agony Acres Mitigation Site,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030002,03030002020070,Guilford,Central Piedmont,30.736062520000001,1338862.883480000076815,20380.261313099999825,1.000000000000000,9
92139,Allen Tract,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020101,03020101130050,Franklin,Central Piedmont,146.521082059999998,6382458.334689999930561,30030.013155000000552,1.000000000000000,10
92526,Anderson Swamp,Full Delivery,Inactive,Long Term Mangement,Tar-Pamlico,03020102,03020102060010,Edgecombe,Northern Inner Coastal Plain,24.996750580000000,1088858.455409999936819,5602.810130709999612,1.000000000000000,11
92487,Armstrong Property,Full Delivery,Inactive,Long Term Mangement,Tar-Pamlico,03020104,03020104090010,Hyde,Northern Outer Coastal Plain,25.008318400000000,1089362.349369999952614,5090.190179700000044,1.000000000000000,12
96312,Aycock Springs Stream and Wetland,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030002,03030002030010,Alamance,Central Piedmont,13.248545590000001,577106.645800999947824,8437.774680900000021,1.000000000000000,13
17,Back Creek,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040105,03040105010050,Mecklenburg,Southern Piedmont,21.186040899999998,922863.941650999942794,7564.329175589999977,1.000000000000000,14
92666,Badin Inn,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040104,03040104010010,Stanly,Southern Piedmont,8.244612410000000,359135.316404999990482,8475.706921850000072,1.000000000000000,15
19,Bailey Fork (EBX),Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101050050,Burke,Northern Mountains,64.858467140000002,2825234.828619999811053,30129.493572399998811,1.000000000000000,16
20,Bailey Fork (WRC),Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101050050,Burke,Northern Mountains,11.116343710000001,484227.931902999989688,8101.197214449999592,1.000000000000000,17
21,Ballance Farm,Design-Bid-Build,Inactive,Long Term Mangement,Pasquotank,03010205,03010205020010,Currituck,Northern Outer Coastal Plain,408.696540579999976,17802821.307599999010563,23952.056588700001157,1.000000000000000,18
92106,Barnes Creek Grissom,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040103,03040103050080,Montgomery,Southern Piedmont,55.874485520000000,2433892.589110000059009,12269.370039100000213,1.000000000000000,19
