,ProjectID,ProjectNam,ProjectMet,Status,Status_Rea,RiverBasin,CU,HUC,County,Ecoregion,GIS_Acres,Shape_STAr,Shape_STLe,BUFF_DIST,ORIG_FID,FREQUENCY,COUNT_ProjectID
13,17,Back Creek,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040105,03040105010050,Mecklenburg,Southern Piedmont,21.1860409,922863.941651,7564.32917559,1.0,14,,
15,19,Bailey Fork (EBX),Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101050050,Burke,Northern Mountains,64.85846714,2825234.82862,30129.4935724,1.0,16,,
22,26,Bear Creek (Phillips Tract),Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003070050,Chatham,Central Piedmont,15.70129438,683948.383166,9099.13019857,1.0,23,,
24,28,Beaver Creek,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040101,03040101090030,Surry,Central Piedmont,12.38018307,538634.982799,8570.658578259998,1.0,25,,
25,92164,Beaver Dam-Drowning Creek II (Rankin Tract),Design-Bid-Build,Inactive,Long Term Mangement,Lumber,03040203,03040203010111,Moore,Southern Piedmont,912.30179997,39739866.4066,73182.85124239998,1.0,26,,
37,92209,Bird Island,Design-Bid-Build,Inactive,Long Term Mangement,Lumber,03040207,03040207020120,Brunswick,Southern Outer Coastal Plain,118.84658719,5176902.53112,17507.1745803,1.0,38,,
38,38,Bishop Road (1 mi to CU 05),Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020104,03020104120010,Hyde,Northern Outer Coastal Plain,689.71602306,30044483.0677,57708.7697031,1.0,39,,
42,40,Blue Mitigation Site,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030004,03030004070050,Moore,Southern Piedmont,176.77458042,7700300.72317,13130.3686298,1.0,43,,
48,439,Bold Run Creek (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201065010,Wake,Central Piedmont,34.93842931,1521863.59013,6145.94301212,1.0,49,,
50,44,Bowman Site,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003020010,Randolph,Central Piedmont,9.8105787,427348.808354,4076.01964156,1.0,51,,
51,47,Briles,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040103,03040103050030,Randolph,Central Piedmont,13.39126445,583323.479331,6232.01031391,1.0,52,,
52,92882,Broad River Greenway,Design-Bid-Build,Inactive,Long Term Mangement,Broad,03050105,03050105010010,Cleveland,Southern Piedmont,997.27612634,43441380.2712,68818.4664633,1.0,53,,
