subwatershed,huc12,watershed,huc10,subbasin,huc8,basin,huc6,to_huc,area_sq_mi,area_acres,population_2000,population_2010,population_2020,Shape_Length,Shape_Area,Area_m2,PADPercArea
Little Grassy Creek,030101020801,Grassy Creek-John H Kerr Reservoir,0301010208,Middle Roanoke,03010102,Roanoke,030101,030101020802,24.165525149859583,15465.936093903730580,1343,1296,1233,52997.789929206825036,96853001.126947969198227,62588423.194919683039188,0.0000000
Mountain Creek-Grassy Creek,030101020802,Grassy Creek-John H Kerr Reservoir,0301010208,Middle Roanoke,03010102,Roanoke,030101,030101020804,36.847178586682404,23582.194292417410907,1170,1458,1314,73567.107057320405147,147747572.537952005863190,95433753.787366911768913,0.0000000
Beech Creek-Johnson Creek,030101020803,Grassy Creek-John H Kerr Reservoir,0301010208,Middle Roanoke,03010102,Roanoke,030101,030101020804,25.382508473154800,16244.805420711625629,791,1017,945,51366.961439329083078,101959428.060530260205269,65740395.258071593940258,0.0000000
Spewmarrow Creek-Grassy Creek,030101020804,Grassy Creek-John H Kerr Reservoir,0301010208,Middle Roanoke,03010102,Roanoke,030101,030101020805,23.315812032052396,14922.119698577680538,941,921,869,52368.857884092307359,93637078.697923019528389,60387675.326865740120411,0.0000000
Black Creek-Grassy Creek,030101020805,Grassy Creek-John H Kerr Reservoir,0301010208,Middle Roanoke,03010102,Roanoke,030101,030101020806,0.578881415784642,370.484106054107940,6,23,22,7653.000934504847464,2327004.032522260211408,1499295.929709838470444,0.0000000
Beaver Pond Creek-Grassy Creek,030101020806,Grassy Creek-John H Kerr Reservoir,0301010208,Middle Roanoke,03010102,Roanoke,030101,030101020903,7.491567165119000,4794.602985054154487,169,296,279,29473.973368110950105,30101490.275041934102774,19403069.815032176673412,0.0000000
Little Island Creek,030101020901,Butcher Creek-John H Kerr Reservoir,0301010209,Middle Roanoke,03010102,Roanoke,030101,030101020902,21.185608040874051,13558.789144400407167,1037,1384,1211,52861.897703826951329,85004726.710261538624763,54870472.732356585562229,0.0000000
Island Creek,030101020902,Butcher Creek-John H Kerr Reservoir,0301010209,Middle Roanoke,03010102,Roanoke,030101,030101020903,45.809098066597400,29317.822758818922011,1760,2305,2094,98589.090001972712344,183769052.036927789449692,118645019.798155650496483,0.0000000
Anderson Creek-Mill Creek,030101021001,Nutbush Creek-John H Kerr Reservoir,0301010210,Middle Roanoke,03010102,Roanoke,030101,030101021002,20.860110626285277,13350.470799090615401,2069,2210,1927,49581.579383764641534,83592557.749920338392258,54027439.170525982975960,0.0000000
Headwaters Nutbush Creek,030101021002,Nutbush Creek-John H Kerr Reservoir,0301010210,Middle Roanoke,03010102,Roanoke,030101,030101021003,48.157504401827921,30820.802813171474554,9661,9581,9116,74041.098490853793919,192836746.961373001337051,124727351.843850314617157,0.0000000
Nutbush Creek-John H. Kerr Reservoir,030101021003,Nutbush Creek-John H Kerr Reservoir,0301010210,Middle Roanoke,03010102,Roanoke,030101,030101021004,41.627272495657181,26641.454393764390261,1726,2207,2700,65968.805776794804842,167147908.144818961620331,107814141.226521134376526,0.0000000
Eastland Creek-John H. Kerr Reservoir,030101021004,Nutbush Creek-John H Kerr Reservoir,0301010210,Middle Roanoke,03010102,Roanoke,030101,030101060201,2.997467376159693,1918.379120493331129,136,190,177,29074.216850742766837,12049497.709119312465191,7763404.363212289288640,0.0000000
Archies Creek-Dan River,030101030102,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030104,9.640321900976643,6169.806015824639871,493,942,787,41045.638130805593391,38756261.926838263869286,24968344.193191085010767,0.0000000
Little Dan River,030101030103,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030104,0.690860586449130,442.150775270082590,31,35,25,11703.945908895246248,2777743.527488389983773,1789322.293542773462832,0.0000000
Elk Creek-Dan River,030101030104,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030105,11.307197991199727,7236.606713429016963,441,582,409,32905.950423412621603,45443290.110900886356831,29285512.023597337305546,2.2581575
Peters Creek-Dan River,030101030105,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030109,23.131704767532607,14804.291049300301893,899,1151,938,53886.565360945118300,92903044.149156793951988,59910840.200332403182983,0.1301177
Big Creek,030101030106,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030109,44.741773258380732,28634.734881648873852,2279,2733,2298,81178.538768958183937,179633907.853853523731232,115880660.799800723791122,0.0000000
Double Creek,030101030107,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030109,13.225666883802631,8464.426804535591145,845,679,836,45229.871453293206287,53027826.750623226165771,34254319.930946223437786,0.0000000
Vade Mecum Creek,030101030108,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030109,17.446613966409348,11165.832937053433852,666,1235,1275,41977.256618681865803,69896189.944365248084068,45186522.702176019549370,7.2752595
Flat Shoals Creek-Dan River,030101030109,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030302,44.134539303077325,28246.105150305109419,2002,2490,2264,80967.035884907192667,176872410.167977333068848,114307932.016049697995186,12.6717014
Headwaters Town Fork Creek,030101030201,Town Fork Creek,0301010302,Upper Dan,03010103,Roanoke,030101,030101030202,27.739947201768462,17753.566206828636496,4494,5675,5473,62107.800172456300061,110854367.027023002505302,71846132.865386009216309,1.0817504
Neatman Creek-Town Fork Creek,030101030202,Town Fork Creek,0301010302,Upper Dan,03010103,Roanoke,030101,030101030203,35.131030637682983,22483.859605200264923,6069,7315,7141,90915.773699975397903,140321134.726746201515198,90988952.071620121598244,1.8405899
Town of Walnut Cove-Town Fork Creek,030101030203,Town Fork Creek,0301010302,Upper Dan,03010103,Roanoke,030101,030101030204,49.881151858855027,31923.937185525712266,7325,6854,7454,78327.525636220540036,199191276.580717831850052,129191590.483151838183403,0.0000000
Lick Creek-Town Fork Creek,030101030204,Town Fork Creek,0301010302,Upper Dan,03010103,Roanoke,030101,030101030306,22.420201252993934,14348.928800054623935,3394,3871,3678,52465.401555595235550,89486800.573938339948654,58068054.520874962210655,0.0000000
Snow Creek,030101030301,Belews Lake-Dan River,0301010303,Upper Dan,03010103,Roanoke,030101,030101030302,43.756822345028382,28004.366297185148142,2361,2521,2115,71868.578712751725107,175615433.639037281274796,113329649.956710934638977,0.1866107
Blackies Branch-Dan River,030101030302,Belews Lake-Dan River,0301010303,Upper Dan,03010103,Roanoke,030101,030101030306,26.675842237447537,17072.539029751595081,2098,2410,2097,59005.504405389881867,106753854.485945865511894,69090114.268700376152992,0.0000000
Belews Creek-Belews Lake,030101030303,Belews Lake-Dan River,0301010303,Upper Dan,03010103,Roanoke,030101,030101030304,39.379918201865721,25203.147645924447716,14389,15667,16652,61104.061184572223283,156916219.132401883602142,101993520.154860422015190,0.0000000
Belews Lake,030101030304,Belews Lake-Dan River,0301010303,Upper Dan,03010103,Roanoke,030101,030101030306,32.664478547418184,20905.266267635590339,4249,5682,5635,80015.785909476122470,130383545.578314766287804,84600609.920713171362877,0.7553830
Big Beaver Island Creek,030101030305,Belews Lake-Dan River,0301010303,Upper Dan,03010103,Roanoke,030101,030101030306,38.719324420821529,24780.367626111008576,4362,3896,3608,62287.513310197129613,155267060.201298862695694,100282589.841233327984810,0.0000000
Reed Creek-Dan River,030101030306,Belews Lake-Dan River,0301010303,Upper Dan,03010103,Roanoke,030101,030101030503,40.374977397787092,25839.985531231504865,4574,4228,4241,76946.733500182454009,161570067.863897234201431,104570711.485450416803360,0.0000000
Russell Creek,030101030402,Mayo River,0301010304,Upper Dan,03010103,Roanoke,030101,030101030404,1.577908552957757,1009.861473761955040,72,77,68,14878.405076252216531,6343313.063309281133115,4086764.543654168955982,0.0000000
Lower South Mayo River,030101030404,Mayo River,0301010304,Upper Dan,03010103,Roanoke,030101,030101030408,15.897772899647620,10174.574654454525444,598,1001,752,52959.471546710228722,63891343.752516224980354,41175042.649088516831398,0.0090504
Koger Creek-North Mayo River,030101030407,Mayo River,0301010304,Upper Dan,03010103,Roanoke,030101,030101030408,0.021472524331864,13.742415570610058,0,2,2,1319.317618954994032,86326.793771895172540,55613.577492123513366,5.0041981
Pawpaw Creek-Mayo River,030101030408,Mayo River,0301010304,Upper Dan,03010103,Roanoke,030101,030101030409,26.843024578072942,17179.535727737973502,931,2379,2136,60560.305434353256715,107847522.908874794840813,69523114.331923052668571,0.0032914
Town of Mayodan-Mayo River,030101030409,Mayo River,0301010304,Upper Dan,03010103,Roanoke,030101,030101030503,29.423427201058910,18830.993406234749273,6202,5097,4761,68151.156412330499734,118038215.907347083091736,76206326.594419434666634,0.0000000
Hogan Creek,030101030501,Matrimony Creek-Dan River,0301010305,Upper Dan,03010103,Roanoke,030101,030101030503,24.440049206923295,15641.631490401712654,3668,3316,3478,58173.388748982863035,97689533.023821458220482,63299436.727635324001312,0.0000000
Jacobs Creek,030101030502,Matrimony Creek-Dan River,0301010305,Upper Dan,03010103,Roanoke,030101,030101030503,37.543647843348523,24027.934616625898343,2718,3685,3689,59374.371185419906396,150125456.806594341993332,97237601.568384960293770,0.0000000
Massy Creek-Dan River,030101030503,Matrimony Creek-Dan River,0301010305,Upper Dan,03010103,Roanoke,030101,030101030504,27.285139609299488,17462.489347686256224,2292,3873,3686,60787.944944478062098,109323211.312765538692474,70668187.173787057399750,0.0000000
Rock House Creek-Dan River,030101030504,Matrimony Creek-Dan River,0301010305,Upper Dan,03010103,Roanoke,030101,030101030505,42.125637473952800,26960.407979832205456,3552,5196,4971,70509.715255704664742,168731822.599959820508957,109104900.239646270871162,2.9897497
Matrimony Creek-Dan River,030101030505,Matrimony Creek-Dan River,0301010305,Upper Dan,03010103,Roanoke,030101,030101030901,46.822036426935554,29966.103309351237840,13301,10478,10103,64085.466683295831899,188020150.403221666812897,121268517.297504723072052,2.9844279
Marrowbone Creek,030101030802,Lower Smith River,0301010308,Upper Dan,03010103,Roanoke,030101,030101030803,0.079731950603968,51.028448379919269,7,7,7,2918.558447580894153,320545.083988629688974,206504.793347190949135,0.0000000
Fall Creek-Smith River,030101030807,Lower Smith River,0301010308,Upper Dan,03010103,Roanoke,030101,030101030901,10.527622737969681,6737.678551426513877,7462,7589,7194,32954.824929533897375,42301610.441454350948334,27266416.039412841200829,0.0000000
Town Creek-Dan River,030101030901,Cascade Creek-Dan River,0301010309,Upper Dan,03010103,Roanoke,030101,030101030903,35.204198154052705,22530.686815670815122,6043,6437,6359,58220.549804048896476,141271607.050930291414261,91178464.226511448621750,0.0000000
Cascade Creek,030101030902,Cascade Creek-Dan River,0301010309,Upper Dan,03010103,Roanoke,030101,030101030903,9.566745862574209,6122.717351253190827,1994,2498,2351,33898.701195618887141,38448456.035669997334480,24777750.671732578426600,0.0000000
Trotters Creek-Dan River,030101030903,Cascade Creek-Dan River,0301010309,Upper Dan,03010103,Roanoke,030101,030101030906,15.224450437616566,9743.648278810554984,753,1461,1422,42249.925797530129785,61178840.330755427479744,39431144.713468506932259,0.0000000
Upper Wolf Island Creek,030101030904,Cascade Creek-Dan River,0301010309,Upper Dan,03010103,Roanoke,030101,030101030905,28.369163091592906,18156.264376264040038,7979,6333,5983,59928.967829205575981,113640613.562579855322838,73475791.522737786173820,0.0000000
Lower Wolf Island Creek,030101030905,Cascade Creek-Dan River,0301010309,Upper Dan,03010103,Roanoke,030101,030101030906,40.597194853551521,25982.204702902290592,3097,3315,3054,65376.971422784969036,162965491.262230813503265,105146251.931201383471489,0.0000000
City of Danville-Dan River,030101030906,Cascade Creek-Dan River,0301010309,Upper Dan,03010103,Roanoke,030101,030101030907,2.042803572956130,1307.394286522314360,47,190,170,15420.077104385713028,8211036.992346189916134,5290836.751650558784604,0.0000000
