ProjectID,ProjectNam
17,Back Creek
19,Bailey Fork (EBX)
26,Bear Creek (Phillips Tract)
28,Beaver Creek
92164,Beaver Dam-Drowning Creek II (Rankin Tract)
92209,Bird Island
38,Bishop Road (1 mi to CU 05)
40,Blue Mitigation Site
439,Bold Run Creek (G)
44,Bowman Site
47,Briles
92882,Broad River Greenway
92333,Brock
49,Brock Mill Pond
97084,Buckwater Mitigation Site
95009,Burnetts Chapel Buffer Mitigation Site
66,Camp Lejeune USMC
92521,Cane Creek (FD)
92268,Carbonton Dam
94719,Carper-Harris Wetland
92271,Casey Dairy (G)
92133,Cashie River-IP-Thunderbolt-Baltimore
71,Cat Creek
73,Caviness
94,Coddle Creek Tributary (Indian Run)
96,Company Swamp
92014,Countyline Creek Mackovic
99,Cox Site
92269,Daniels Farm
110,Deaton
92091,Deep River Hanson
117,Dismal Swamp
92163,Drowning Creek
92121,Drowning Creek IP Forest Investments
65,Dula Thorofare at Bishop Site
92350,Dula Thorofare at Camp Branch
92176,DuPont Forest
121,Dutchman's Creek
126,Elk Shoals RFP*
92148,Eno River-Poplar Ridge (Bunting)
92246,Eno River Cabe's Ford
92082,Eno River Penny
92147,Eno River Wilderness
135,Fisher River Mit. Bank (Ring FDP)
92185,Five Mile Branch
92152,Great Coharie-TNC
95012,Green Valley Farms Site
153,Gregory
155,Grimesland (Phase II)
156,Grimesland Site Phase I
433,Harris Farm-HQP
719,Haw's Run
167,Haw Branch
92150,Haw River-Cone Swamp-Phillips
92149,Haw River-Duke Forest
92238,Haw River Swamp I
170,Heath Dairy Road
172,Helms
173,Hendersonville Wetlands
95355,Hofler Property
184,Huskanaw Swamp
198,Jones Creek
199,Jumping Run Creek
206,Key Branch
92136,Langley Site-Cypress Creek
92707,Laxon Creek(Racey site)
219,Lick Creek
92166,Linville River-White Creek
224,Little Grassy Creek
92651,Little Ivy Creek (Barnhill Site)
92177,Little Table Rock 1
92169,Little Table Rock 2
92168,Lone Mountain 1 -Phase Two
92171,Lone Mountain 2 -Phase Two
92178,Lost Bridge
236,Lowell Mill
239,Mallard Creek
97087,Martin Dairy Mitigation Site-Option 2
718,Mashoe's Road
92009,Mayo River & Buffalo Creek Gorrell
92010,Mayo River Grogan
92011,Mayo River Hickory Creek Robertson
443,McCain Property
92706,Meat Camp Creek (Miller site)
247,Meredell Farm Site
92703,Middle Fork Creek (Phillips/Willis)
251,Mill Branch
92156,Mingo Tract
256,Mocassin Creek (G)
725,Moore Property (G)
92270,Moye Farm Phase I (G)
93482,Mud Lick Creek - Thomas Site
92179,Needmore Tract
265,Neu-Con MBI (Marston)
263,Neu-Con MBI (Nahunta)
92173,New River Heights Tract-New River
628,Norwood Gainey Site (G)
273,Oakley Crossroads (G)
92708,Obids Creek(Wild site)
275,Open Springs
92607,Plemmons-Kirkpatrick Spring Creek WRC
92549,Plum Creek
285,Pott Creek
293,Privateer Farms
92344,Rhodes Pond
303,Rich Fork FDP (Bodenheimer-Parker)
308,Rocky Branch
97005,Rough Horn Swamp Restoration Site
746,Rowel Branch
92675,SALT (Sandhill Area Land Trust)
80,Sandy Creek -- Charles Williams (G)
92175,Sandymush HQP-Progress Energy
92059,Shocco Creek Gupton
336,Silver Creek
340,Sleepy Creek
95017,Sliver Moon Non-Riparian Wetland Mitigation Site
343,Smith/Austin Creek (G)
346,South Fork
92701,South Fork Big Pine Creek(Charles/McGinnis)
347,South Fork Hopper
354,Spring Valley Park
360,Starmount Forest CC
92145,Stevens Tract-Eno River
364,Stone Mountain
365,Stonebridge
370,Suther
134,Terrible Creek Buffer (Fish Property) (G)
94801,PRMUSACE - The Cliffs at Walnut Cove
379,Tick Creek (Condoret Tract)
92719,UT to Bear Creek (Phillips)
92345,UT to Jumping Run Creek
92705,Ut to Laxon Creek (Carp site)
290,UT to Lilliput Creek (Hog Branch Ponds)
314,UT to Little Coharie Creek (Roseboro Site)
92704,Ut to Peak Creek (Bare site)
402,UT to Rocky River (Smith Tract)
403,UT to Sandy Creek (Williams Tract)
407,Valleyfields Farm
92103,Wallace Deer Club Tract 3-5
410,Walnut Creek (Buffer) (G)
413,Watts Property
92153,Wells Tract; Cape Fear River
93861,White Pines Hearn
92606,WRC Bowlin-Peak Creek
97083,Lochill Farm Stream Mitigation Project
25,Bear Creek
168,Haw River Swamp II
97085,Stony Fork Restoration Site
100015,Major Hill Stream & Wetland Mitigation Site
94803,Basket Creek Gorham
100057,Phantom Mill
100014,Heron Stream & Wetland Mitigation Site
100020,Whittier Creek
92127,Melrose Mountain Tobey
92273,McCotter-Raines (G)
100022,Catbird Site
100061,Arabia Bay
100044,Barefoot Project
100058,Slingshot
100054,Bear Swamp Stream & Wetland Site
100055,Shaw's Run Stream & Wetland Site
100039,Catfish Pond Mitigation Site
100053,Rough Horn Swamp II Restoration Site
100048,Alexander Farm
100043,Matthew Project
97081,Lake Wendell Mitigation Project
100060,Sandy Branch
97079,Pen Dell Mitigation Project
100063,Apple Valley Project
100066,Round Hill Branch Restoration Site
100082,Double H Farms Mitigation Site
100107,Mangum Homestead
100085,Lyon Hills Mitigation Site
100047,Blair Creek
100083,Honey Mill Mitigation Site
100042,Buffalo Creek Tributaries Mitigation Project
100118,Pond Haven
100109,Bucky's Branch
100111,Green Valley II
100110,Rhapsody
100119,Boseman
100108,Bohemian
100038,McClenny Acres Mitigation Site
100064,Owen Farms Stream and Wetland Mitigation Site
100077,Sliver Moon II NRW Mitigation Site
100084,Bug Headwaters Mitigation Site
100092,Brahma Site
100027,Little Sebastian Site
100121,Nesbit Site
100080,Banner Branch Mitigation Project
194,Jacksonville Country Club
100068,UT to Rush Fork Stream Mitigation Project
100112,White Mitigation Project
100093,Perry Hill Site
100113,Eight-Point
100076,Hornpipe Branch Tributaries
100090,Carpenter Bottom
100122,Laurel Springs
100094,Strawberry Hill Project
100095,Cowford Project
100136,Yarbro Site
100139,Pierce Terrace
100125,Dynamite Creek
92218,Silver Creek-Conway
92134,Roanoke River-IP-Blue Sky Timber Tract 42-14
100059,Hip Bone Creek
92154,Wallace Deer Club (Blanchard Tract)
92158,Len's Knob & Little Mountain
100137,Bull Chute Site
100123,Huntsman Site
100135,Liberty Rock
100165,Crane
100138,Cross Creek Ranch Site
100141,Big Branch Site
92210,Blounts Creek
751,Jenny's Gut (Perquimans County High School)
100140,Laurel Valley Site
100166,Cool Springs
100019,Warren Wilson College
100067,Wyant Lands Mitigation Site
100164,Wits End
100595,Wyant Lands: Phase II - Project Expansion
100189,Maple Swamp Buffer
100180,Anderson Farm
100185,Thunder
100190,Maple Swamp Wetland
100041,Odell's House Mitigation Project
100069,Monkey Wall Project
100142,Cool Run
100128,Dales Creek Site
100120,Oak Hill Dairy Site
100115,Swamp Grape
100114,Longhorn
100170,Six Runs
100191,Colonial Farms
100181,Thunder Swamp
100171,Bridgefork Dairy
100182,Little River Ford
100186,Carraway Bluff
100127,Morgan Branch Site
100175,Cornbread Valley
100193,Stinking Quarter
100176,Kingfield
100183,Coor Island
100062,Banner Farm Mitigation Site
100206,Oakley's Bend
100210,Running Dog
100188,Wicomico
97080,Edwards-Johnson Mitigation Project
100081,UT to Magness Creek
100196,Cow Branch
100178,Sassafras
100204,Haunted Creek
100594,Bandys Farm
92762,Clarks Creek
100184,Pickle Creek
100179,Chappels Creek
100192,Mushroom Meadow
100650,Coor Island Phase B
100593,Love Cats
100023,Stewarts Creek Tributaries
100045,Burnetts Chapel Phase 2
100025,Key Mill Site
100078,Wingfoot Riparian Buffer Mitigation Site
100592,Riverbend
10073, 
10012, 
100172,Tiger Falls
94687,Crooked Creek #2
100049,Groundhog Hollow
92657,Little Warrior
100203,Falcon Site
100639,Big Buffalo
