,ProjectID,ProjectNam,ProjectMet,Status,Status_Rea,RiverBasin,CU,HUC,County,Ecoregion,GIS_Acres,Shape_STAr,Shape_STLe,BUFF_DIST,ORIG_FID,FREQUENCY,COUNT_ProjectID
0,95756,601 East Stream Restoration Project,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040105,03040105081010,Union,Southern Piedmont,12.77486597,556473.161443,9225.42333437,1.0,1,1.0,1.0
1,95025,601 North II Stream Restoration Site,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040105,03040105081010,Union,Southern Piedmont,12.31013058,536229.288094,7917.46710523,1.0,2,3.0,3.0
2,92546,601 North Property,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040105,03040105081010,Union,Southern Piedmont,8.45840864,368448.280246,5682.18051139,1.0,3,3.0,3.0
3,92545,601 West Property,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040105,03040105081010,Union,Southern Piedmont,12.81683608,558301.379513,8448.66995999,1.0,4,1.0,1.0
4,9,Abbott,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201090010,Wake,Central Piedmont,5.58342721,243249.517994,2209.08468511,1.0,5,3.0,3.0
5,6,ABC (G),Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020104,03020104110010,Beaufort,Northern Outer Coastal Plain,195.8203578,8529934.785879998,13592.9095172,1.0,6,1.0,1.0
6,92244,Adam's Creek Sea Gate Woods,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020204,03020204050050,Carteret,Southern Outer Coastal Plain,122.89539161,5353323.25841,10927.7494933,1.0,7,4.0,4.0
7,7,Adkins Branch (Phase II) (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020202,03020202060030,Lenoir,Southern Inner Coastal Plain,35.72536636,1556196.95869,19703.5244431,1.0,8,530.0,530.0
8,95716,Agony Acres Mitigation Site,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030002,03030002020070,Guilford,Central Piedmont,30.73606252,1338862.88348,20380.2613131,1.0,9,1.0,1.0
9,92139,Allen Tract,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020101,03020101130050,Franklin,Central Piedmont,146.52108206,6382458.33469,30030.013155,1.0,10,10.0,10.0
10,92526,Anderson Swamp,Full Delivery,Inactive,Long Term Mangement,Tar-Pamlico,03020102,03020102060010,Edgecombe,Northern Inner Coastal Plain,24.99675058,1088858.45541,5602.81013071,1.0,11,1.0,1.0
11,92487,Armstrong Property,Full Delivery,Inactive,Long Term Mangement,Tar-Pamlico,03020104,03020104090010,Hyde,Northern Outer Coastal Plain,25.0083184,1089362.34937,5090.1901797,1.0,12,1.0,1.0
12,96312,Aycock Springs Stream and Wetland,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030002,03030002030010,Alamance,Central Piedmont,13.24854559,577106.645801,8437.7746809,1.0,13,1.0,1.0
13,17,Back Creek,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040105,03040105010050,Mecklenburg,Southern Piedmont,21.1860409,922863.941651,7564.32917559,1.0,14,,
14,92666,Badin Inn,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040104,03040104010010,Stanly,Southern Piedmont,8.24461241,359135.316405,8475.70692185,1.0,15,1.0,1.0
15,19,Bailey Fork (EBX),Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101050050,Burke,Northern Mountains,64.85846714,2825234.82862,30129.4935724,1.0,16,,
16,20,Bailey Fork (WRC),Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101050050,Burke,Northern Mountains,11.11634371,484227.931903,8101.197214449999,1.0,17,1.0,1.0
17,21,Ballance Farm,Design-Bid-Build,Inactive,Long Term Mangement,Pasquotank,03010205,03010205020010,Currituck,Northern Outer Coastal Plain,408.69654058,17802821.3076,23952.0565887,1.0,18,1.0,1.0
18,92106,Barnes Creek Grissom,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040103,03040103050080,Montgomery,Southern Piedmont,55.87448552,2433892.58911,12269.3700391,1.0,19,4.0,4.0
19,23,Barra Farms I,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030005,03030005010020,Cumberland,Southern Inner Coastal Plain,617.94517146,26917691.6689,23107.6702137,1.0,20,7.0,7.0
20,24,Beamon's Run (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020203,03020203050010,Greene,Northern Inner Coastal Plain,79.90649145,3480726.76746,24381.6729008,1.0,21,4.0,4.0
21,95362,Bear Basin,Full Delivery,Inactive,Long Term Mangement,White Oak,03030001,03030001010010,Onslow,Southern Outer Coastal Plain,11.94230888,520206.975027,3383.36283359,1.0,22,1.0,1.0
22,26,Bear Creek (Phillips Tract),Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003070050,Chatham,Central Piedmont,15.70129438,683948.383166,9099.13019857,1.0,23,,
23,27,Bear Swamp Creek,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020101,03020101040010,Franklin,Central Piedmont,4.18804768,182431.356767,3249.88867398,1.0,24,1.0,1.0
24,28,Beaver Creek,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040101,03040101090030,Surry,Central Piedmont,12.38018307,538634.982799,8570.658578259998,1.0,25,,
25,92164,Beaver Dam-Drowning Creek II (Rankin Tract),Design-Bid-Build,Inactive,Long Term Mangement,Lumber,03040203,03040203010111,Moore,Southern Piedmont,912.30179997,39739866.4066,73182.85124239998,1.0,26,,
26,92217,Beaverdam Creek,Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101170040,Mecklenburg,Southern Piedmont,57.71427899,2514033.99283,32686.9286922,1.0,27,7.0,7.0
27,92586,Beaverdam Creek and Trib (Parker Site),Full Delivery,Inactive,Long Term Mangement,Yadkin,03040105,03040105081030,Union,Southern Piedmont,6.51549965,283815.164738,5154.48742413,1.0,28,1.0,1.0
28,92530,Beaverdam Swamp,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030004,03030004110020,Harnett,Southern Inner Coastal Plain,35.75650057,1557553.16482,18259.9783106,1.0,29,1.0,1.0
29,29,Benbow Park,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002020050,Guilford,Central Piedmont,4.32044924,188198.768911,3917.00990748,1.0,30,4.0,4.0
30,32,Benson Grove,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201130020,Johnston,Northern Inner Coastal Plain,94.01557915,4095318.62776,13568.6335439,1.0,31,1.0,1.0
31,95353,Best Site,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030007,03030007060010,Duplin,Southern Inner Coastal Plain,142.05176234,6187774.76755,51083.6652932,1.0,32,1.0,1.0
32,92132,Big & Little Rock Creek Bruchon,Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010108,06010108060020,Mitchell,Northern Mountains,145.65574037,6344764.05059,12418.7296819,1.0,33,15.0,15.0
33,92214,Big Bull Creek (G),Full Delivery,Inactive,Long Term Mangement,Neuse,03020201,03020201110040,Johnston,Northern Inner Coastal Plain,36.7597974,1601256.77459,10622.119479,1.0,34,1.0,1.0
34,92532,Big Cedar Creek,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040105,03040105060080,Stanly,Southern Piedmont,40.66737958,1771512.65144,22894.0099621,1.0,35,1.0,1.0
35,92101,Big Pond Bay Gardner,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030006,03030006040020,Cumberland,Southern Inner Coastal Plain,30.94524692,1347974.95563,5504.41031627,1.0,36,12.0,12.0
36,36,Billy's Creek (G),Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020101,03020101040020,Franklin,Central Piedmont,5.02815781,219026.554388,3578.55758433,1.0,37,1.0,1.0
37,92209,Bird Island,Design-Bid-Build,Inactive,Long Term Mangement,Lumber,03040207,03040207020120,Brunswick,Southern Outer Coastal Plain,118.84658719,5176902.53112,17507.1745803,1.0,38,,
38,38,Bishop Road (1 mi to CU 05),Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020104,03020104120010,Hyde,Northern Outer Coastal Plain,689.71602306,30044483.0677,57708.7697031,1.0,39,,
39,92162,Bishop Tract-Canal Branch,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040104,03040104061030,Anson,Southern Piedmont,80.56209500999998,3509284.85871,17581.9793329,1.0,40,17.0,17.0
40,97063,Black Gum Creek,Design-Bid-Build,Inactive,Long Term Mangement,Lumber,03040203,03040203020010,Robeson,Southern Inner Coastal Plain,147.47470317,6423998.07002,17439.3438668,1.0,41,1.0,1.0
41,92516,Blockhouse Creek,Full Delivery,Inactive,Long Term Mangement,Broad,03050105,03050105150020,Polk,Southern Piedmont,13.18501395,574339.207467,12740.0504268,1.0,42,4.0,4.0
42,40,Blue Mitigation Site,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030004,03030004070050,Moore,Southern Piedmont,176.77458042,7700300.72317,13130.3686298,1.0,43,,
43,667,BMP (Cary Barnes and Noble),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201110010,Wake,Central Piedmont,2.73799498,119267.061122,1580.45962042,1.0,44,4.0,4.0
44,92646,BMP (Simmons Street Wetland New Bern),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020204,03020204020010,Craven,Southern Outer Coastal Plain,41.68677098,1815875.7439,6647.43282959,1.0,45,4.0,4.0
45,670,BMP (Wayne Community College),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020202,03020202010010,Wayne,Northern Inner Coastal Plain,1.18204176,51489.7390153,1153.47014851,1.0,46,1.0,1.0
46,92735,BMP Louisburg HS,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020101,03020101040010,Franklin,Central Piedmont,0.63230812,27543.3417392,676.578731957,1.0,47,1.0,1.0
47,92879,Bobs Creek,Design-Bid-Build,Inactive,Long Term Mangement,Catawba,03050101,03050101040010,McDowell,Northern Mountains,42.70685374,1860310.549,17417.7599013,1.0,48,45.0,45.0
48,439,Bold Run Creek (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201065010,Wake,Central Piedmont,34.93842931,1521863.59013,6145.94301212,1.0,49,,
49,95721,Bowl Basin Non-Riparian Wetland Mitigation,Full Delivery,Inactive,Long Term Mangement,White Oak,03020106,03020106010010,Onslow,Southern Outer Coastal Plain,12.06491465,525547.682335,4937.59604591,1.0,50,1.0,1.0
50,44,Bowman Site,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003020010,Randolph,Central Piedmont,9.8105787,427348.808354,4076.01964156,1.0,51,,
51,47,Briles,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040103,03040103050030,Randolph,Central Piedmont,13.39126445,583323.479331,6232.01031391,1.0,52,,
52,92882,Broad River Greenway,Design-Bid-Build,Inactive,Long Term Mangement,Broad,03050105,03050105010010,Cleveland,Southern Piedmont,997.27612634,43441380.2712,68818.4664633,1.0,53,,
53,92333,Brock,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020204,03020204010060,Jones,Southern Outer Coastal Plain,8.06557226,351336.327458,5539.31940758,1.0,54,,
54,49,Brock Mill Pond,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020204,03020204010070,Jones,Southern Outer Coastal Plain,110.47725676,4812389.30441,24199.8402028,1.0,55,,
55,92215,Brogden Road (G),Full Delivery,Inactive,Long Term Mangement,Neuse,03020201,03020201140010,Johnston,Northern Inner Coastal Plain,15.00376113,653563.834625,5083.34985043,1.0,56,1.0,1.0
56,52,Brown Bark Park,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002020040,Guilford,Central Piedmont,8.93358482,389146.954641,5613.93021297,1.0,57,4.0,4.0
57,53,Brown Branch,Design-Bid-Build,Inactive,Long Term Mangement,Catawba,03050101,03050101070020,Caldwell,Northern Mountains,25.43468125,1107934.71524,9444.91059667,1.0,58,4.0,4.0
58,95351,Brown Creek Tributaries Project,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040104,03040104061030,Anson,Southern Piedmont,43.33366556,1887614.472,22649.8916092,1.0,59,1.0,1.0
59,92207,Brown Farm,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030002,03030002060110,Durham,Central Piedmont,46.62995608,2031200.88698,7815.510967989999,1.0,60,4.0,4.0
60,92517,Brown Marsh Swamp,Full Delivery,Inactive,Long Term Mangement,Lumber,03040204,03040204037010,Robeson,Southern Inner Coastal Plain,28.26598858,1231266.46245,9658.42537895,1.0,61,1.0,1.0
61,96313,Browns Summit Creek Restoration Project,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030002,03030002010020,Guilford,Central Piedmont,20.24499234,881871.866443,10950.8927252,1.0,62,1.0,1.0
62,54,Brush Creek,Design-Bid-Build,Inactive,Long Term Mangement,New,05050001,05050001030030,Alleghany,Northern Mountains,10.66713045,464660.202484,7409.29916495,1.0,63,4.0,4.0
63,97084,Buckwater Mitigation Site,Full Delivery,Active,Active,Neuse,03020201,03020201030030,Orange,Central Piedmont,51.83916477,2258104.98487,29531.5283673,1.0,64,,
64,92603,Buffalo Creek,Design-Bid-Build,Active,Active,Neuse,03020201,03020201020010,Durham,Central Piedmont,32.23501344,1404151.56901,11418.1423899,1.0,65,12.0,12.0
65,94647,Buffalo Flats Restoration Site,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040105,03040105020050,Cabarrus,Southern Piedmont,20.19888167,879863.2854209999,5348.13832836,1.0,66,1.0,1.0
66,57,Bull Farm,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030006,03030006050040,Sampson,Southern Inner Coastal Plain,438.63181826,19106802.0035,20883.8831582,1.0,67,1.0,1.0
67,95009,Burnetts Chapel Buffer Mitigation Site,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030003,03030003010050,Guilford,Central Piedmont,11.98430154,522036.175207,10505.6945767,1.0,68,,
68,63,Caldwell Station,Design-Bid-Build,Inactive,Long Term Mangement,Catawba,03050101,03050101170010,Mecklenburg,Southern Piedmont,20.66103838,899994.831707,6475.7305359,1.0,69,7.0,7.0
69,66,Camp Lejeune USMC,Design-Bid-Build,Inactive,Long Term Mangement,White Oak,03030001,03030001020030,Onslow,Southern Outer Coastal Plain,4.29493665,187087.440493,2655.31309385,1.0,70,,
70,92767,Candiff Creek,Design-Build,Inactive,Long Term Mangement,Yadkin,03040101,03040101110060,Surry,Central Piedmont,27.5424432,1199892.64598,11713.7765053,1.0,71,1.0,1.0
71,96315,Candy Creek Stream Mitigation Site,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030002,03030002010020,Guilford,Central Piedmont,61.6796957,2686767.54458,33431.2400063,1.0,72,1.0,1.0
72,69,Cane Creek,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002050050,Alamance,Central Piedmont,6.42792135,279319.64447,4993.66649941,1.0,73,1.0,1.0
73,92325,Cane Creek,Full Delivery,Inactive,Long Term Mangement,Roanoke,03010104,03010104061040,Person,Central Piedmont,52.10742538,2269799.44946,35156.9403988,1.0,74,1.0,1.0
74,92521,Cane Creek (FD),Full Delivery,Inactive,Long Term Mangement,Broad,03050105,03050105060020,Rutherford,Southern Piedmont,44.08080864,1920160.02457,20921.8622326,1.0,75,,
75,92268,Carbonton Dam,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030003,03030003060010,Moore,Southern Piedmont,5.59973683,243924.536127,2250.70888475,1.0,76,,
76,94719,Carper-Harris Wetland,Design-Bid-Build,Inactive,Long Term Mangement,Pasquotank,03010205,03010205010020,Pasquotank,Northern Outer Coastal Plain,67.80593987,2953626.74065,7951.62880758,1.0,77,,
77,92271,Casey Dairy (G),Full Delivery,Inactive,Long Term Mangement,Neuse,03020202,03020202010040,Wayne,Northern Inner Coastal Plain,72.0078572,3136662.25981,18712.2924411,1.0,78,,
78,92133,Cashie River-IP-Thunderbolt-Baltimore,Design-Bid-Build,Inactive,Long Term Mangement,Roanoke,03010107,03010107160115,Bertie,Northern Outer Coastal Plain,723.98188528,31536650.9227,51989.8765477,1.0,79,,
79,71,Cat Creek,Design-Bid-Build,Inactive,Long Term Mangement,Little Tennessee,06010202,06010202040010,Macon,Southern Mountains,38.92621778,1695626.04661,16259.8294174,1.0,80,,
80,73,Caviness,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003020050,Randolph,Central Piedmont,9.39351675,409181.589806,5573.29807177,1.0,81,,
81,97009,Cedar Branch Restoration Site,Full Delivery,Active,Active,Yadkin,03040103,03040103050040,Randolph,Central Piedmont,21.33265711,929250.5438010001,12497.007615,1.0,82,1.0,1.0
82,95718,Cedar Creek,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030006,03030006090060,Sampson,Southern Inner Coastal Plain,42.01535814,1830189.00045,15067.654046,1.0,83,1.0,1.0
83,92035,Cedar Creek Perry,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020101,03020101050010,Franklin,Central Piedmont,162.43927034,7075854.61602,34100.1003835,1.0,84,7.0,7.0
