ProjectID,FREQUENCY,COUNT_ProjectID
6,1,1
7,530,530
9,3,3
20,1,1
21,1,1
23,7,7
24,4,4
27,1,1
29,4,4
32,1,1
36,1,1
52,4,4
53,4,4
54,4,4
56,1,1
57,1,1
63,7,7
69,1,1
72,4,4
77,1,1
79,7,7
87,4,4
90,1,1
91,4,4
92,1,1
93,1,1
105,4,4
106,1,1
118,27,27
119,1,1
123,18,18
127,9,9
138,4,4
139,4,4
141,4,4
142,1,1
143,1,1
144,4,4
145,1,1
147,7,7
158,1,1
162,1,1
165,1,1
169,3,3
175,1,1
177,4,4
180,4,4
183,3,3
192,75,75
197,1,1
200,1,1
201,1,1
204,1,1
205,4,4
208,1,1
209,1,1
221,1,1
226,1,1
234,1,1
241,1,1
242,1,1
243,4,4
244,14,14
250,2,2
253,15,15
258,4,4
259,1,1
260,1,1
261,1,1
272,7,7
276,1,1
279,1,1
283,1,1
286,1,1
289,1,1
291,4,4
294,3,3
295,3,3
301,1,1
312,9,9
317,1,1
321,1,1
322,4,4
333,1,1
335,4,4
344,1,1
348,1,1
349,16,16
351,7,7
357,4,4
363,14,14
366,9,9
367,9,9
368,1,1
372,62,62
388,1,1
390,2,2
395,1,1
397,1,1
405,12,12
409,1,1
412,4,4
414,11,11
417,1,1
420,1,1
423,1,1
432,4,4
434,1,1
435,10,10
440,4,4
441,1,1
667,4,4
670,1,1
671,1,1
733,4,4
737,1,1
739,1,1
745,1,1
747,34,34
749,1,1
847,1,1
854,1,1
856,1,1
857,1,1
92015,7,7
92017,1,1
92018,23,23
92020,201,201
92021,38,38
92022,105,105
92023,4,4
92024,9,9
92025,60,60
92026,4,4
92027,31,31
92028,57,57
92029,26,26
92030,11,11
92031,286,286
92032,17,17
92033,34,34
92034,48,48
92035,7,7
92038,60,60
92039,56,56
92041,37,37
92044,84,84
92046,60,60
92047,46,46
92050,37,37
92051,21,21
92052,12,12
92054,30,30
92055,11,11
92056,4,4
92057,44,44
92066,80,80
92069,17,17
92071,29,29
92072,38,38
92073,71,71
92075,4,4
92076,12,12
92077,17,17
92080,1,1
92081,1,1
92089,24,24
92090,11,11
92092,14,14
92093,3,3
92096,5,5
92101,12,12
92105,12,12
92106,4,4
92107,1,1
92108,7,7
92109,25,25
92110,12,12
92111,9,9
92112,14,14
92113,11,11
92114,14,14
92116,3,3
92117,3,3
92118,12,12
92120,27,27
92124,3,3
92125,6,6
92128,15,15
92130,7,7
92132,15,15
92137,40,40
92138,9,9
92139,10,10
92140,12,12
92141,88,88
92142,47,47
92143,130,130
92144,30,30
92146,14,14
92151,8,8
92157,32,32
92159,28,28
92160,11,11
92161,12,12
92162,17,17
92165,12,12
92167,57,57
92170,12,12
92172,72,72
92205,1,1
92206,1,1
92207,4,4
92211,1,1
92212,1,1
92213,1,1
92214,1,1
92215,1,1
92216,1,1
92217,7,7
92219,1,1
92220,1,1
92222,1,1
92223,1,1
92224,1,1
92226,1,1
92227,4,4
92228,1,1
92229,2,2
92230,1,1
92231,4,4
92232,4,4
92233,3,3
92234,3,3
92240,1,1
92241,1,1
92244,4,4
92245,26,26
92248,28,28
92249,10,10
92251,9,9
92255,4,4
92316,3,3
92325,1,1
92327,1,1
92328,1,1
92329,1,1
92343,1,1
92347,1,1
92351,15,15
92383,1,1
92471,1,1
92486,1,1
92487,1,1
92497,12,12
92500,4,4
92508,1,1
92515,4,4
92516,4,4
92517,1,1
92518,1,1
92520,1,1
92522,1,1
92523,1,1
92524,1,1
92526,1,1
92527,1,1
92528,1,1
92530,1,1
92531,4,4
92532,1,1
92533,4,4
92534,1,1
92542,4,4
92543,1,1
92544,1,1
92545,1,1
92546,3,3
92547,1,1
92548,1,1
92550,1,1
92551,1,1
92552,1,1
92556,1,1
92557,3,3
92558,4,4
92573,1,1
92586,1,1
92596,1,1
92598,1,1
92603,12,12
92604,7,7
92611,4,4
92614,1,1
92632,1,1
92633,1,1
92646,4,4
92663,6,6
92664,1,1
92665,1,1
92666,1,1
92682,7,7
92684,7,7
92688,11,11
92694,1,1
92709,1,1
92735,1,1
92753,1,1
92758,1,1
92759,11,11
92760,1,1
92761,1,1
92763,7,7
92764,1,1
92766,1,1
92767,1,1
92786,4,4
92812,4,4
92837,1,1
92872,1,1
92879,45,45
92916,7,7
93873,1,1
93874,24,24
93875,1,1
93876,17,17
94014,1,1
94015,1,1
94016,1,1
94068,4,4
94147,1,1
94148,1,1
94150,32,32
94151,1,1
94203,1,1
94640,4,4
94641,9,9
94642,1,1
94643,1,1
94645,1,1
94646,1,1
94647,1,1
94648,1,1
94708,1,1
94709,1,1
94903,4,4
95007,1,1
95008,1,1
95013,4,4
95015,1,1
95018,3,3
95019,1,1
95020,1,1
95021,1,1
95022,1,1
95023,1,1
95024,1,1
95025,3,3
95026,1,1
95027,1,1
95350,1,1
95351,1,1
95352,1,1
95353,1,1
95354,3,3
95356,3,3
95359,1,1
95360,1,1
95361,1,1
95362,1,1
95363,1,1
95389,1,1
95713,1,1
95715,1,1
95716,1,1
95717,3,3
95718,1,1
95719,1,1
95720,1,1
95721,1,1
95729,1,1
95756,1,1
95807,1,1
95808,1,1
95838,3,3
96074,4,4
96306,1,1
96309,1,1
96310,3,3
96311,1,1
96312,1,1
96313,1,1
96314,1,1
96315,1,1
96316,1,1
96582,1,1
96920,1,1
97009,1,1
97063,1,1
97071,2,2
97082,12,12
97086,1,1
97131,1,1
97135,1,1
97136,1,1
100003,1,1
100004,5,5
100005,1,1
100017,1,1
100018,1,1
100021,1,1
100024,1,1
100046,1,1
100086,1,1
